,CV_AUC_mean,CV_AUC_std,Accuracy,Precision,Recall,F1,ROC_AUC,Brier
Baseline (Persistence),,,0.9002123142250531,0.75,0.7578947368421053,0.7539267015706806,,
Logistic Regression,0.870454676648953,0.07165599516669188,0.8853503184713376,0.7252747252747253,0.6947368421052632,0.7096774193548387,0.9171892497200448,0.10137602564283718
Ridge Classifier,0.7952526270688877,0.10340915359630673,0.8556263269639066,0.6483516483516484,0.6210526315789474,0.6344086021505376,0.8661814109742441,0.1587181528682817
Random Forest,0.9222079197830059,0.013148312174537376,0.89171974522293,0.84375,0.5684210526315789,0.6792452830188679,0.9131578947368421,0.09949463850208962
