Date,BTC,SP500,GOLD,VIX
2017-01-01,998.3250122070312,,,
2017-01-02,1021.75,,,
2017-01-03,1043.8399658203125,2257.830078125,1160.4000244140625,12.850000381469727
2017-01-04,1154.72998046875,2270.75,1163.800048828125,11.850000381469727
2017-01-05,1013.3800048828125,2269.0,1179.699951171875,11.670000076293945
2017-01-06,902.2009887695312,2276.97998046875,1171.9000244140625,11.319999694824219
2017-01-07,908.5850219726562,,,
2017-01-08,911.198974609375,,,
2017-01-09,902.8280029296875,2268.89990234375,1183.5,11.5600004196167
2017-01-10,907.6790161132812,2268.89990234375,1184.199951171875,11.489999771118164
2017-01-11,777.7570190429688,2275.320068359375,1195.5999755859375,11.260000228881836
2017-01-12,804.833984375,2270.43994140625,1198.9000244140625,11.539999961853027
2017-01-13,823.9840087890625,2274.639892578125,1195.300048828125,11.229999542236328
2017-01-14,818.4119873046875,,,
2017-01-15,821.7979736328125,,,
2017-01-16,831.5339965820312,,,
2017-01-17,907.93798828125,2267.889892578125,1212.0,11.869999885559082
2017-01-18,886.6179809570312,2271.889892578125,1211.300048828125,12.479999542236328
2017-01-19,899.072998046875,2263.68994140625,1200.9000244140625,12.779999732971191
2017-01-20,895.0260009765625,2271.31005859375,1204.300048828125,11.539999961853027
2017-01-21,921.7890014648438,,,
2017-01-22,924.6729736328125,,,
2017-01-23,921.0120239257812,2265.199951171875,1215.0,11.770000457763672
2017-01-24,892.68701171875,2280.070068359375,1210.300048828125,11.069999694824219
2017-01-25,901.5419921875,2298.3701171875,1197.300048828125,10.8100004196167
2017-01-26,917.5859985351562,2296.679931640625,1189.5,10.630000114440918
2017-01-27,919.75,2294.68994140625,1188.0999755859375,10.579999923706055
2017-01-28,921.5900268554688,,,
2017-01-29,919.4959716796875,,,
2017-01-30,920.3820190429688,2280.89990234375,1193.199951171875,11.880000114440918
2017-01-31,970.4030151367188,2278.8701171875,1208.5999755859375,11.989999771118164
2017-02-01,989.0230102539062,2279.550048828125,1205.5999755859375,11.8100004196167
2017-02-02,1011.7999877929688,2280.85009765625,1216.699951171875,11.930000305175781
2017-02-03,1029.9100341796875,2297.419921875,1218.5,10.970000267028809
2017-02-04,1042.9000244140625,,,
2017-02-05,1027.3399658203125,,,
2017-02-06,1038.1500244140625,2292.56005859375,1230.0,11.369999885559082
2017-02-07,1061.3499755859375,2293.080078125,1234.199951171875,11.289999961853027
2017-02-08,1063.0699462890625,2294.669921875,1237.5999755859375,11.449999809265137
2017-02-09,994.3829956054688,2307.8701171875,1235.0999755859375,10.880000114440918
2017-02-10,988.6740112304688,2316.10009765625,1234.4000244140625,10.850000381469727
2017-02-11,1004.4500122070312,,,
2017-02-12,999.1810302734375,,,
2017-02-13,990.6420288085938,2328.25,1224.4000244140625,11.069999694824219
2017-02-14,1004.5499877929688,2337.580078125,1223.9000244140625,10.739999771118164
2017-02-15,1007.47998046875,2349.25,1231.699951171875,11.970000267028809
2017-02-16,1027.43994140625,2347.219970703125,1240.0,11.760000228881836
2017-02-17,1046.2099609375,2351.159912109375,1237.5999755859375,11.489999771118164
2017-02-18,1054.4200439453125,,,
2017-02-19,1047.8699951171875,,,
2017-02-20,1079.97998046875,,,
2017-02-21,1115.300048828125,2365.3798828125,1237.5,11.569999694824219
2017-02-22,1117.43994140625,2362.820068359375,1232.0,11.739999771118164
2017-02-23,1166.719970703125,2363.81005859375,1250.199951171875,11.710000038146973
2017-02-24,1173.6800537109375,2367.340087890625,1256.9000244140625,11.470000267028809
2017-02-25,1143.8399658203125,,,
2017-02-26,1165.199951171875,,,
2017-02-27,1179.969970703125,2369.75,1257.4000244140625,12.09000015258789
2017-02-28,1179.969970703125,2363.639892578125,1252.5999755859375,12.920000076293945
2017-03-01,1222.5,2395.9599609375,1248.9000244140625,12.539999961853027
2017-03-02,1251.010009765625,2381.919921875,1231.9000244140625,11.8100004196167
2017-03-03,1274.989990234375,2383.1201171875,1225.5,10.960000038146973
2017-03-04,1255.1500244140625,,,
2017-03-05,1267.1199951171875,,,
2017-03-06,1272.8299560546875,2375.31005859375,1224.5,11.239999771118164
2017-03-07,1223.5400390625,2368.389892578125,1215.0999755859375,11.449999809265137
2017-03-08,1150.0,2362.97998046875,1208.5,11.859999656677246
2017-03-09,1188.489990234375,2364.8701171875,1202.4000244140625,12.300000190734863
2017-03-10,1116.719970703125,2372.60009765625,1200.699951171875,11.65999984741211
2017-03-11,1175.8299560546875,,,
2017-03-12,1221.3800048828125,,,
2017-03-13,1231.9200439453125,2373.469970703125,1202.4000244140625,11.350000381469727
2017-03-14,1240.0,2365.449951171875,1201.9000244140625,12.300000190734863
2017-03-15,1249.6099853515625,2385.260009765625,1200.0999755859375,11.630000114440918
2017-03-16,1187.81005859375,2381.3798828125,1226.5,11.210000038146973
2017-03-17,1100.22998046875,2378.25,1229.800048828125,11.279999732971191
2017-03-18,973.8179931640625,,,
2017-03-19,1036.739990234375,,,
