Date,btc_ret,sp500_ret,gold_ret,vix_ret,btc_vol_7d,sp500_vol_7d,vix_vol_7d,btc_vol_30d,sp500_vol_30d,vix_vol_30d,btc_mom7,sp500_mom7,btc_mom30,sp500_mom30,btc_ret_lag1,btc_ret_lag2,btc_ret_lag3,btc_ret_lag4,btc_ret_lag5,sp500_ret_lag1,sp500_ret_lag2,sp500_ret_lag3,vix_lag1,vix_lag2,vix_lag3,btc_sp500_ratio_lag1,btc_gold_ratio_lag1,sp500_gold_ratio_lag1,vix_level_lag1,vix_change,vix_zscore,btc_sp500_corr30,target
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017-01-04,0.10096034523200412,0.005705963770549438,0.0029257608917391607,-0.08101594125491061,,,,,,,,,,,,,,,,,,,12.850000381469727,,,0.4623199841004698,0.8995518302814528,1.945734255964945,12.850000381469727,-1.0,,,0
2017-01-05,-0.1305752503587256,-0.0007709676024811847,0.013569572279167469,-0.0153064469366001,,,,,,,,,,,0.10096034523200412,,,,,0.005705963770549438,,,11.850000381469727,12.850000381469727,,0.5085236069442916,0.992206506290743,1.9511513187222371,11.850000381469727,-0.18000030517578125,,,0
2017-01-06,-0.1162092411941805,0.0035107891805790594,-0.006633743360060724,-0.03045040702003253,,,,,,,,,,,-0.1305752503587256,0.10096034523200412,,,,-0.0007709676024811847,0.005705963770549438,,11.670000076293945,11.850000381469727,12.850000381469727,0.4466196583881941,0.8590150435084398,1.923370428002519,11.670000076293945,-0.35000038146972656,,,0
2017-01-09,0.0006947414011181646,-0.003554905471559629,0.009849765856593362,0.020979853727208023,,,,,,,,,,,-0.1162092411941805,-0.1305752503587256,0.10096034523200412,,,0.0035107891805790594,-0.0007709676024811847,0.005705963770549438,11.319999694824219,11.670000076293945,11.850000381469727,0.39622701846671476,0.7698617373274842,1.9429814259174674,11.319999694824219,0.24000072479248047,,,0
2017-01-10,0.005358747291348979,0.0,0.0005912499106309624,-0.006073827602679202,,,,,,,,,,,0.0006947414011181646,-0.1162092411941805,-0.1305752503587256,0.10096034523200412,,-0.003554905471559629,0.0035107891805790594,-0.0007709676024811847,11.5600004196167,11.319999694824219,11.670000076293945,0.39791442628080487,0.7628457988421525,1.9171101836449091,11.5600004196167,-0.07000064849853516,,,0
2017-01-11,-0.154476649076822,0.0028256423891019514,0.009580731125187961,-0.02022042890204621,,,,,,,-0.18771082495653701,0.0024900140892323286,,,0.005358747291348979,0.0006947414011181646,-0.1162092411941805,-0.1305752503587256,0.10096034523200412,0.0,-0.003554905471559629,0.0035107891805790594,11.489999771118164,11.5600004196167,11.319999694824219,0.40005247264353017,0.7664913473565416,1.9159770274424217,11.489999771118164,-0.22999954223632812,,,0
2017-01-12,0.03422186501689435,-0.002147112393729617,0.002756359087469122,0.024562614735795518,1.5357005274666484,0.052760778029269935,0.5635891025525599,,,,-0.12834884909739175,-0.0004534637526183438,,,-0.154476649076822,0.005358747291348979,0.0006947414011181646,-0.1162092411941805,-0.1305752503587256,0.0028256423891019514,0.0,-0.003554905471559629,11.260000228881836,11.489999771118164,11.5600004196167,0.34182312627505296,0.6505160880936008,1.903078048528974,11.260000228881836,0.2799997329711914,,,0
2017-01-13,0.0235150973517181,0.0018481313951466559,-0.0030072493432917323,-0.027230529786543247,1.294548326968553,0.04157223219133169,0.35376135976885675,,,,-0.059480679420619964,0.0011506132920049428,,,0.03422186501689435,-0.154476649076822,0.005358747291348979,0.0006947414011181646,-0.1162092411941805,-0.002147112393729617,0.0028256423891019514,0.0,11.539999961853027,11.260000228881836,11.489999771118164,0.35448371467448164,0.671310341134029,1.8937692010773628,11.539999961853027,-0.3100004196166992,,,0
2017-01-16,0.009121060732713465,0.0,0.0,0.0,1.188227438356633,0.04103516625605363,0.35181241846489325,,,,-0.021859022074523504,0.0007957141125976008,,,0.0235150973517181,0.03422186501689435,-0.154476649076822,0.005358747291348979,0.0006947414011181646,0.0018481313951466559,-0.002147112393729617,0.0028256423891019514,11.229999542236328,11.539999961853027,11.260000228881836,0.36224811297718934,0.6893532796195385,1.9029865302926972,11.229999542236328,0.0,,,0
2017-01-17,0.08790389778017535,-0.0029719144562184454,0.013874646895225017,0.055425470992607244,1.1847687157841638,0.038446509660354886,0.457393747339704,,,,0.06698703659466321,-0.0016037153611822008,,,0.009121060732713465,0.0235150973517181,0.03422186501689435,-0.154476649076822,0.005358747291348979,0.0,0.0018481313951466559,-0.002147112393729617,11.229999542236328,11.229999542236328,11.539999961853027,0.365567314323127,0.6956696750721872,1.9029865302926972,11.229999542236328,0.6400003433227539,,,0
2017-01-18,-0.023761878519635897,0.0017622004698093201,-0.0005776842959905698,0.05011312728111235,1.1940027239689075,0.03410852548473561,0.523946233015346,,,,0.044775500008240154,-3.082513971275347e-05,,,0.08790389778017535,0.009121060732713465,0.0235150973517181,0.03422186501689435,-0.154476649076822,-0.0029719144562184454,0.0,0.0018481313951466559,11.869999885559082,11.229999542236328,11.229999542236328,0.40034482769757,0.749123752707302,1.8711962810050535,11.869999885559082,0.6099996566772461,,,1
2017-01-19,0.013950027432390346,-0.003615837624319374,-0.008622907336826992,0.02375410179361605,1.1975119078521559,0.04112430021939814,0.5137328085836108,,,,0.06098937810690974,-0.003313513859235395,,,-0.023761878519635897,0.08790389778017535,0.009121060732713465,0.0235150973517181,0.03422186501689435,0.0017622004698093201,-0.0029719144562184454,0.0,12.479999542236328,11.869999885559082,11.229999542236328,0.3902557002667516,0.7319557047940284,1.8755797911310828,12.479999542236328,0.3000001907348633,,,0
2017-01-20,-0.00451146111407703,0.0033605840612999428,0.0028272298148097597,-0.10206217028079227,0.5611137585859889,0.042932944374283626,0.8651943506361712,,,,0.035737278916822435,0.0002938688591016536,,,0.013950027432390346,-0.023761878519635897,0.08790389778017535,0.009121060732713465,0.0235150973517181,-0.003615837624319374,0.0017622004698093201,-0.0029719144562184454,12.779999732971191,12.479999542236328,11.869999885559082,0.3971714419017795,0.7486659836530076,1.8849945002796873,12.779999732971191,-1.239999771118164,,,0
2017-01-23,0.028620322240761782,-0.002693749646069815,0.008845550963396858,0.019734702390271835,0.5561617628622543,0.044056942371269336,0.8607335104784706,,,,0.045724365129920175,-0.002068055042893535,,,-0.00451146111407703,0.013950027432390346,-0.023761878519635897,0.08790389778017535,0.009121060732713465,0.0033605840612999428,-0.003615837624319374,0.0017622004698093201,11.539999961853027,12.779999732971191,12.479999542236328,0.39405716431807,0.7431918663853667,1.8860001382578258,11.539999961853027,0.23000049591064453,,,0
2017-01-24,-0.031237062820323513,0.006543140528962317,-0.0038757736862718066,-0.06131524101187122,0.6306170945594965,0.059946745479033406,0.932052458599347,,,,0.0023935434101156616,0.004139796529737838,,,0.028620322240761782,-0.00451146111407703,0.013950027432390346,-0.023761878519635897,0.08790389778017535,-0.002693749646069815,0.0033605840612999428,-0.003615837624319374,11.770000457763672,11.539999961853027,12.779999732971191,0.4065919317406423,0.7580345875932356,1.8643620997299384,11.770000457763672,-0.7000007629394531,,,0
2017-01-25,0.00987059326696027,0.007994052795968681,-0.010799240583716598,-0.02376704868415178,0.6305173260708569,0.07526920688509117,0.9407255237270074,,,,0.0010942358857164436,0.010690187799585082,,,-0.031237062820323513,0.028620322240761782,-0.00451146111407703,0.013950027432390346,-0.023761878519635897,0.006543140528962317,-0.002693749646069815,0.0033605840612999428,11.069999694824219,11.770000457763672,11.539999961853027,0.39151735909637336,0.7375749613354934,1.8838882726370676,11.069999694824219,-0.25999927520751953,,,0
